Deporte,Fecha,Tiempo,Distancia,Frecuencia Media,Calorias,Tiempo Zona 1,Tiempo Zona 2,Tiempo Zona 3,Tiempo Zona 4,Tiempo Zona 5,Tipo,Tenis,Terreno
Caminata,"Jueves, Abr 15, 2021 09:12 AM",00:29:22,3,119,232,00:06:54,00:20:58,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Abr 15, 2021 09:43 AM",00:42:37,8.73,165,546,00:00:10,00:00:33,00:01:31,00:39:22,00:00:00,Velocity,Pegasus 36,
Correr,"Viernes, Abr 16, 2021 07:06 AM",01:03:34,10.55,149,708,00:17:58,00:03:52,00:02:41,00:37:22,00:00:43,Tempo Run,Pegasus 37,
Correr,"Sábado, Abr 17, 2021 08:52 AM",00:17:40,3.27,149,199,00:00:20,00:01:14,00:15:18,00:00:00,00:00:00,Duatlón,Asics,
Ciclismo,"Sábado, Abr 17, 2021 09:19 AM",02:53:23,52.8,133,1621,00:03:21,02:13:43,00:35:09,00:00:05,00:00:00,Duatlón,,Rodillo
Correr,"Sábado, Abr 17, 2021 12:22 PM",00:31:15,6.11,171,418,00:00:00,00:00:25,00:01:24,00:27:25,00:01:58,Duatlón,Asics,
Correr,"Martes, Abr 20, 2021 07:00 AM",02:00:21,23.58,168,1587,00:00:12,00:00:30,00:03:31,01:55:11,00:00:06,Long Run,Pegasus 37,
Ciclismo,"Miércoles, Abr 21, 2021 06:56 AM",01:11:55,18.72,128,647,00:06:53,01:00:40,00:03:30,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Abr 21, 2021 08:09 AM",01:03:13,6.05,113,465,00:54:57,00:05:38,00:00:50,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Jueves, Abr 22, 2021 09:11 AM",00:33:23,3.47,123,280,00:03:31,00:29:42,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Abr 22, 2021 09:45 AM",00:47:05,8.93,158,554,00:03:03,00:02:58,00:12:18,00:26:30,00:01:22,Velocity,Pegasus 36,
Correr,"Viernes, Abr 23, 2021 07:00 AM",01:00:01,11.21,173,811,00:00:30,00:04:49,00:05:29,00:10:32,00:38:03,Tempo Run,Pegasus 37,
Correr,"Sábado, Abr 24, 2021 08:43 AM",00:28:33,5.52,153,330,00:00:08,00:00:35,00:24:42,00:02:33,00:00:00,Duatlón,Asics,
Ciclismo,"Sábado, Abr 24, 2021 09:19 AM",02:59:11,55.8,134,1715,00:03:36,01:51:51,01:03:00,00:00:00,00:00:00,Duatlón,,Rodillo
Correr,"Sábado, Abr 24, 2021 12:26 PM",00:39:22,7.88,164,498,00:00:53,00:01:29,00:02:07,00:34:51,00:00:00,Duatlón,Asics,
Caminata,"Lunes, Abr 26, 2021 09:13 AM",00:29:46,3.02,102,171,00:20:32,00:00:00,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Abr 26, 2021 09:44 AM",00:39:38,8.19,160,484,00:00:58,00:01:00,00:10:36,00:26:58,00:00:00,Velocity,Pegasus 36,
Correr,"Martes, Abr 27, 2021 06:53 AM",01:57:49,21.89,162,1429,00:01:21,00:19:04,00:12:13,01:24:20,00:00:00,Long Run,Pegasus 37,
Ciclismo,"Miércoles, Abr 28, 2021 06:51 AM",01:12:19,20.4,138,723,00:00:31,00:38:20,00:32:48,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Abr 28, 2021 08:06 AM",00:13:16,1.31,114,102,00:10:21,00:01:35,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Jueves, Abr 29, 2021 09:03 AM",00:29:35,3.04,119,232,00:09:51,00:19:06,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Abr 29, 2021 09:33 AM",00:29:07,6.34,166,374,00:00:33,00:00:13,00:05:33,00:20:10,00:02:00,Velocity,Pegasus 36,
